name,brandName,discountPercent,new_price,old_price,rating,rating_count,segment_name,brickNameText,url
Printed A-Line Dress with Seashell Details,FUSIONIC,50,3050.00,6100.00,2.3,14,Women,Dresses & Gowns,/fusionic-printed-a-line-dress-with-seashell-details/p/467198491_lime
Floral Printed Fit & Flare Dress,MAGNETISM,20,1759.00,2199.00,0,0,Women,Dresses & Gowns,/magnetism-floral-printed-fit--flare-dress/p/466380554_beige
Women Fit & Flare Dress,AVAASA SET,29,1703.00,2399.00,3.9,69,Women,Dresses & Gowns,/avaasa-set-women-fit--flare-dress/p/443025815_mustard
Printed Fit & Flare Dress,AVAASA SET,50,1475.00,2949.00,4.2,207,Women,Dresses & Gowns,/avaasa-set-printed-fit--flare-dress/p/443013886_blue
Printed V-Neck A-Line Dress,AVAASA SET,52,1032.00,2149.00,4,593,Women,Dresses & Gowns,/avaasa-set-printed-v-neck-a-line-dress/p/443007994_rosegold
Embroidered Fit & Flare Dress,FUSION,49,841.00,1649.00,3.9,186,Women,Dresses & Gowns,/fusion-embroidered-fit--flare-dress/p/443016270_ltpeach
Women Embroidered Fit & Flare Dress,FUSION,29,1029.00,1449.00,4.3,66,Women,Dresses & Gowns,/fusion-women-embroidered-fit--flare-dress/p/443027905_navy
Women Square-Neck Gown Dress,MAGNETISM,50,2500.00,4999.00,0,0,Women,Dresses & Gowns,/magnetism-women-square-neck-gown-dress/p/467311861_maroon
Paisley Print Fit & Flare Dress,BLACK SCISSOR,80,1000.00,4999.00,3.7,815,Women,Dresses & Gowns,/black-scissor-paisley-print-fit--flare-dress/p/466485728_black
Women Relaxed Fit A-Line Dress with Embroidered,FUSION,0%,999.00,999.00,4.3,30,Women,Dresses & Gowns,/fusion-women-relaxed-fit-a-line-dress-with-embroidered/p/443034745_blue
Women Floral Print Fit & Flare Dress,AVAASA SET,0%,2399.00,2399.00,3.8,41,Women,Dresses & Gowns,/avaasa-set-women-floral-print-fit--flare-dress/p/443025390_red
Foil Print Fit & Flare Dress,FUSION,49,841.00,1649.00,4.1,189,Women,Dresses & Gowns,/fusion-foil-print-fit--flare-dress/p/443016881_mustard
Floral Print Fit & Flare Dress,DECKEDUP,65,945.00,2699.00,3.7,278,Women,Dresses & Gowns,/deckedup-floral-print-fit--flare-dress/p/466270294_blue
Printed A-Line Dress with Gathers,FUSION,49,739.00,1449.00,3.6,129,Women,Dresses & Gowns,/fusion-printed-a-line-dress-with-gathers/p/443016262_wine
Printed A-Line Dress,FUSION,29,1171.00,1649.00,4.2,83,Women,Dresses & Gowns,/fusion-printed-a-line-dress/p/443021048_navy
Floral Print A-Line Dress with Waist Tie-Up,FUSION,52,792.00,1649.00,3.9,595,Women,Dresses & Gowns,/fusion-floral-print-a-line-dress-with-waist-tie-up/p/443008083_ltpink
Printed Fit & Flare Dress,FUSION,49,841.00,1649.00,3.6,137,Women,Dresses & Gowns,/fusion-printed-fit--flare-dress/p/443021026_mustard
Printed Relaxed Fit Fit & Flare Dress,FUSION,49,841.00,1649.00,3.8,60,Women,Dresses & Gowns,/fusion-printed-relaxed-fit-fit--flare-dress/p/443021013_darkblue
Printed A-Line Dress,FUSION,49,943.00,1849.00,4,491,Women,Dresses & Gowns,/fusion-printed-a-line-dress/p/443021018_ltpeach
Women Floral Print Fit & Flare Dress,FUSION,29,1029.00,1449.00,4.4,67,Women,Dresses & Gowns,/fusion-women-floral-print-fit--flare-dress/p/443027906_turq
Floral Print Fit & Flare Dress,FUSION,52,792.00,1649.00,4,631,Women,Dresses & Gowns,/fusion-floral-print-fit--flare-dress/p/443008086_mint
Leaf Print Relaxed Fit Fit & Flare Dress,FUSION,29,709.00,999.00,4.1,125,Women,Dresses & Gowns,/fusion-leaf-print-relaxed-fit-fit--flare-dress/p/443028178_yellow
Women Floral Print Fit & Flare Dress,FUSION,0%,1699.00,1699.00,4.1,25,Women,Dresses & Gowns,/fusion-women-floral-print-fit--flare-dress/p/443034574_pink
Floral Print Empire Dress with Jacket,AVAASA SET,52,1128.00,2349.00,4,325,Women,Dresses & Gowns,/avaasa-set-floral-print-empire-dress-with-jacket/p/441149059_burgandy
Printed Fit & Flare Dress with Tie-Up,FUSION,29,851.00,1199.00,4.2,456,Women,Dresses & Gowns,/fusion-printed-fit--flare-dress-with-tie-up/p/443021422_fuchsia
Printed A-Line Dress,FUSION,50,725.00,1449.00,4.1,276,Women,Dresses & Gowns,/fusion-printed-a-line-dress/p/443016326_black
Women Embroidered Motif Fit & Flare Dress,FUSION,0%,1499.00,1499.00,4.4,63,Women,Dresses & Gowns,/fusion-women-embroidered-motif-fit--flare-dress/p/443032897_ltblue
Printed V-Neck Fit & Flare Dress,FUSION,50,925.00,1849.00,3.9,386,Women,Dresses & Gowns,/fusion-printed-v-neck-fit--flare-dress/p/443016253_green
Floral Print Fit & Flare Dress,BLACK SCISSOR,80,1000.00,4999.00,2.8,123,Women,Dresses & Gowns,/black-scissor-floral-print-fit--flare-dress/p/466485724_multi
Striped A-Line Dress with Embroidered Yoke,FUSION,49,943.00,1849.00,3.7,117,Women,Dresses & Gowns,/fusion-striped-a-line-dress-with-embroidered-yoke/p/443016483_cream
Striped Printed Fit and Flare Dress,Jaipur Kurti,70,750.00,2499.00,3.7,2000,Women,Dresses & Gowns,/jaipur-kurti-striped-printed-fit-and-flare-dress/p/463203934_blue
Striped A-Line Dress,FUSION,49,943.00,1849.00,3.8,133,Women,Dresses & Gowns,/fusion-striped-a-line-dress/p/443016271_ltyellow
Floral Print A-Line Dress,FUSION,50,825.00,1649.00,3.5,106,Women,Dresses & Gowns,/fusion-floral-print-a-line-dress/p/443016273_fuchsia
